OPEID;INSTNM;CITY;STABBR;ZIP;INSTURL;REGION;LOCALE;ADM_RATE;COSTT4_A
807800;Springfield Technical Community College;Springfield;MA;01105-1296;www.stcc.edu;1;12.0;;12982.0
221000;University of Massachusetts-Dartmouth;North Dartmouth;MA;02747-2300;www.umassd.edu;1;22.0;0.8427;26536.0
221700;Stonehill College;Easton;MA;02357-6110;https://www.stonehill.edu;1;21.0;0.7212;56439.0
221800;Suffolk University;Boston;MA;02108-3901;www.suffolk.edu;1;11.0;0.8355;51164.0
2137000;Rob Roy Academy-Taunton;Taunton;MA;02780-5339;www.rob-roy.com;1;21.0;;
221900;Tufts University;Medford;MA;02155-5555;www.tufts.edu;1;21.0;0.1491;68051.0
222400;Wellesley College;Wellesley;MA;02481-8203;www.wellesley.edu;1;21.0;0.2208;65966.0
222500;Wentworth Institute of Technology;Boston;MA;02115;https://WIT.EDU;1;11.0;0.9187;51015.0
222600;Western New England University;Springfield;MA;01119-2684;www1.wne.edu;1;12.0;0.8071;49541.0
218900;Westfield State University;Westfield;MA;01086-1630;www.westfield.ma.edu;1;21.0;0.8525;21684.0
222700;Wheaton College;Norton;MA;02766-2322;www.wheatoncollege.edu;1;21.0;0.4789;63428.0
222800;Wheelock College;Boston;MA;02215;www.bu.edu/wheelock/;1;11.0;0.7726;50024.0
222900;Williams College;Williamstown;MA;01267;https://www.williams.edu;1;31.0;0.1458;68430.0
223300;Worcester Polytechnic Institute;Worcester;MA;01609-2280;https://www.wpi.edu/;1;12.0;0.4849;62522.0
219000;Worcester State University;Worcester;MA;01602-2597;https://www.worcester.edu;1;12.0;0.7633;20920.0
223400;Adrian College;Adrian;MI;49221-2575;www.adrian.edu;3;32.0;0.5973;50195.0
223500;Albion College;Albion;MI;49224;www.albion.edu;3;31.0;0.706;54078.0
2595700;Hillsdale Beauty College;Hillsdale;MI;49242;www.hillsdalebeautycollege.com;3;32.0;;
3124000;Northwestern Technological Institute;Southfield;MI;48075;www.northwesterntech.edu;3;13.0;;
223600;Alma College;Alma;MI;48801-1599;alma.edu;3;32.0;0.64;50565.0
223700;Alpena Community College;Alpena;MI;49707;www.alpenacc.edu;3;41.0;;8789.0
223800;Andrews University;Berrien Springs;MI;49104;www.andrews.edu;3;31.0;0.5766;38316.0
223900;Aquinas College;Grand Rapids;MI;49506-1801;www.aquinas.edu;3;12.0;0.7451;40670.0
467300;Baker College;Flint;MI;48507-5508;www.baker.edu;3;21.0;;18725.0
224000;Bay de Noc Community College;Escanaba;MI;49829-2511;https://www.baycollege.edu;3;33.0;;10666.0
2285700;Bayshire Academy of Beauty Craft Inc;Bay City;MI;48708-5614;www.bayshirebeautyacademy.edu;3;13.0;;
3109701;Cadillac Institute of Cosmetology;Cadillac;MI;49601;instituteofcos.net;3;33.0;;
224100;Calvin College;Grand Rapids;MI;49546;www.calvin.edu;3;12.0;0.8348;44630.0
224200;Calvin Theological Seminary;Grand Rapids;MI;49546-4387;www.calvinseminary.edu;3;12.0;;
761700;Carnegie Institute;Troy;MI;48083;www.carnegie-institute.edu;3;13.0;;20468.0
2198900;Michigan School of Psychology;Farmington Hills;MI;48334-4512;www.msp.edu;3;13.0;;
